Kalem No;Kategori;Tanım;Teknik Özellik;Otomatik Miktar;Nihai Miktar;Birim;Durum;Kaynak Nesne;Güzergâh;Formül;Override Gerekçesi
CBL-001;CABLE;Tek damarlı OG güç kablosu;"20.3/35 (40.5) kV; SINGLE_CORE_XLPE; Al 400 mm²; metalik ekran/kılıf 35 mm²; XLPE; dış çap 56.5786 mm; Rdc20 0.0778 Ω/km";124175.0;124175.0;m;CONDITIONAL_PROJECT_DATA;ProjectData.route_sections + CableData + BondingSystemData;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;route × 3 faz × devre × paralel + termination/joint kuyrukları + montaj + fire + yedek;
ACC-TERM-001;CABLE_ACCESSORY;Tek damarlı kablo terminasyonu;"20.3/35 (40.5) kV; 400 mm² Al; iç/dış ortam ve tesis arayüzü proje uçlarına göre teyit edilecektir.";12.0;12.0;adet;CONDITIONAL_PROJECT_DATA;BondingSystemData.nodes;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;TERMINATION nodes × 3 faz × devre × paralel + yedek;
ACC-JOINT-001;CABLE_ACCESSORY;Tek damarlı sectionalizing / straight joint;"20.3/35 (40.5) kV; 400 mm²; metalik ekran/kılıf ayrımı ve bonding çıkışları proje şemasına uygun.";120.0;120.0;adet;CONDITIONAL_PROJECT_DATA;BondingSystemData.nodes;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;SECTIONALIZING_JOINT nodes × 3 faz × devre × paralel + yedek;
BND-LB-CROSS-001;BONDING_AND_SVL;Cross-bonding link box;"CROSS_BONDED; üç faz çapraz bağlantı baraları ve SVL bağlantı noktaları; erişilebilirlik/IP sınıfı saha koşuluna göre.";28.0;28.0;adet;CONFIRMED_PROJECT_DATA;BondingAccessoryPlan;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;minor cross boundaries × circuit count;
BND-LB-GROUND-001;BONDING_AND_SVL;Major-section grounding link box;"Üç faz metalik kılıfın solid-ground bağlantısı; SVL içermez; çıkarılabilir test linkleri ve topraklama barası.";12.0;12.0;adet;CONFIRMED_PROJECT_DATA;BondingAccessoryPlan;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;major-section grounded boundaries × circuit count;
BND-SVL-001;BONDING_AND_SVL;Metalik kılıf gerilim sınırlayıcı (SVL) elemanı/polü;"Bağlantı STAR_GROUNDED; sürekli gerilim marjı %10; nihai MCOV/TOV/residual/enerji sınıfı üretici eğrileri ve hesap sonucu ile seçilecektir.";84.0;84.0;adet;CONDITIONAL_PROJECT_DATA;BondingAccessoryPlan + SvlSystemData;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;cross-bonding boundary × 3 pole × circuit + explicit spare poles;
BND-SVL-SET-001;BONDING_AND_SVL;Üç fazlı SVL seti;Bir cross-bonding link box için üç bağımsız SVL koruma kolu.;28.0;28.0;set;CONDITIONAL_PROJECT_DATA;BondingAccessoryPlan;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;cross-bonding link-box count;
BND-LEAD-001;BONDING_AND_SVL;Bonding bağlantı iletkeni / koaksiyel bonding kablosu;"Tip: COAXIAL; olabildiğince kısa güzergâh; kesit, ekranlama, darbe ve kısa devre dayanımı üretici/hesap ile doğrulanacaktır.";396.0;396.0;m;CONDITIONAL_PROJECT_DATA;BondingLinkBox.lead_length_m;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;Σ(lead length × 3 faz × devre) + açık bonding lead payı;
GND-POINT-001;GROUNDING;Bonding/terminasyon topraklama bağlantı noktası;"Topraklama iletkeni, bağlantı barası, pabuç ve korozyon koruması dahil; hedef direnç ve EPR kriteri topraklama tasarımından.";16.0;16.0;nokta;CONDITIONAL_PROJECT_DATA;BondingNode.grounded;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;grounded nodes × circuit count;
SUP-CLEAT-001;MARKING_AND_SUPPORT;Üç faz kablo kelepçe/cleat seti;"Trefoil; azami aralık 1 m; kısa devre elektrodinamik dayanımı arıza hesabına göre belgelenecektir.";40008.0;40008.0;set;CONDITIONAL_PROJECT_DATA;RouteSection.length_m + ProcurementData.cable_cleat_spacing_m;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;Σ(ceil(section/spacing)+1) × circuits × parallel;
MRK-TAPE-001;MARKING_AND_SUPPORT;Yeraltı kablo ikaz bandı;"Güzergâh boyunca sürekli, dayanıklı ve proje dilinde işaretli; yatay bant sayısı tip kesite göre teyit edilecektir.";21000.0;21000.0;m;ENGINEERING_ASSUMPTION;RouteSection.length_m;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;route length + warning tape allowance;
MRK-TAG-001;MARKING_AND_SUPPORT;Kablo güzergâh ve aksesuar işaretleme seti;Terminasyon, joint, link box ve güzergâh dönüş/erişim noktaları için UV/korozyon dayanımlı etiketleme.;26.0;26.0;set;ENGINEERING_ASSUMPTION;Route/Bonding graph;RS-01 Sentetik standart hendek + RS-02 Sentetik yüksek termal özdirenç bölgesi + RS-03 Sentetik yol geçişi duct bank + RS-04 Sentetik HDD geçişi;route sections + accessory points;
CIV-EXC-001;CIVIL_WORKS;Kablo hendeği kazısı;"Termal bölge kesit genişliği × hendek derinliği × bölge uzunluğu; şev, kabarma ve nakliye katsayıları hariç.";48400.0;48400.0;m³;ENGINEERING_ASSUMPTION;ThermalDesignData.regions/templates;Termal güzergâh;Σ(trench_width × trench_depth × region_length);
CIV-TBF-001;CIVIL_WORKS;Termal dolgu malzemesi;"Bedding + kablo üstü termal dolgu hacmi; sıkışma/kabarma ve satın alma yoğunluğu ayrıca teklif şartında belirtilecektir.";5350.000000000001;5350.000000000001;m³;ENGINEERING_ASSUMPTION;ThermalDesignData.regions/templates;Termal güzergâh;Σ(width × (bedding + cover) × length);
CIV-DUCT-001;CIVIL_WORKS;Kablo koruma borusu / duct;"İç/dış çap ve malzeme ilgili termal kesit şablonundan; her tek damarlı kablo için ayrı duct.";30000.0;30000.0;m;CONDITIONAL_PROJECT_DATA;ThermalCrossSectionTemplate;Duct/HDD bölgeleri;region_length × phases × circuits × cables/phase;
