Makara;Azami m;Güzergâh Kesimi m;Sipariş/Fire Payı m;İşletme Yedeği m;Yuvarlama Mutabakatı m;Yüklenen m;Kapasite Bakiyesi m;Kalan Kapasite m;Aşım m;Tahmini Net Ağırlık kg;Kesimler;Fiziksel Durum;Veri Durumu;Not
DRM-001;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PA-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-002;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PA-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-003;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PB-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-004;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PB-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-005;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PC-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-006;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C1-PC-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-007;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-008;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-009;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-010;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-011;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S1:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-012;1000.0;969.0;16.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S21:969m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-013;1000.0;966.0;20.0;0.0;0.0;986.0;14.0;14.0;0.0;3573.757;CUT-C1-PA-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
